scenario,case_id,case_name,position_rmse_m,heading_rmse_rad,velocity_rmse_mps,max_position_error_m,median_position_error_m
scenario_001,dead_reckoning,Dead reckoning,8.26978214046424,0.157012714578553,0.366743814912995,14.0793139868235,6.52866775447368
scenario_001,beacon_fixed,Beacon fixed covariance,0.219437660638832,0.0701912317491928,0.141660932734942,0.550959620639336,0.15857322279167
scenario_001,beacon_adaptive,Beacon adaptive covariance,0.229940719669321,0.0728856534679517,0.141232499398769,0.727253773342071,0.162138119910048
scenario_001,lidar_only,LiDAR only,0.108769086562027,0.0340431981732524,0.0867727475241444,0.312001416649093,0.0864070662131639
scenario_001,lidar_beacon_adaptive,LiDAR + adaptive beacon fusion,0.0892961022888954,0.0337138837295656,0.0851979099718485,0.218225188028567,0.0766060708761463
scenario_002,dead_reckoning,Dead reckoning,6.28648176715244,0.156369863605067,0.284763338213483,9.17888995984258,6.78899895932264
scenario_002,beacon_fixed,Beacon fixed covariance,0.544214486016104,0.0739857818269286,0.133243204949376,1.85295584852045,0.238228729087871
scenario_002,beacon_adaptive,Beacon adaptive covariance,0.420890840630538,0.0736754622197876,0.119389738171727,1.54097823924718,0.199207949022676
scenario_002,lidar_only,LiDAR only,0.0831147917278592,0.0250029445712746,0.0650291990874923,0.211485045996726,0.0707596619250716
scenario_002,lidar_beacon_adaptive,LiDAR + adaptive beacon fusion,0.0834689107632204,0.02506549901497,0.0649155521556931,0.207224068502572,0.070393623890918
scenario_003,dead_reckoning,Dead reckoning,7.63845169976976,0.0312674044515059,0.222061208478708,11.4564188203548,7.25059597455319
scenario_003,beacon_fixed,Beacon fixed covariance,0.215292373862286,0.0328696636661091,0.141242040346326,0.845628020741143,0.162051841646195
scenario_003,beacon_adaptive,Beacon adaptive covariance,0.206790143467651,0.0315489157789024,0.136416936562613,0.812889082926345,0.147884536794328
scenario_003,lidar_only,LiDAR only,0.0986039467448477,0.0264822673692991,0.116731257259383,0.263813409471522,0.0810266011069906
scenario_003,lidar_beacon_adaptive,LiDAR + adaptive beacon fusion,0.0945226930382307,0.0264713033820721,0.116944039360308,0.289682574813166,0.0738359298600821
